option,option_return,score,loss,epsilon,eval_clears
12628,0.5852088209495403,480,12.216214179992676,0.7000850000000001,
12678,-2.7124163906331358,341,11.259246826171875,0.6988975,
12736,0.7240282025302035,459,21.395221710205078,0.6975199999999999,
12794,0.5144448687151232,465,9.381695747375488,0.6961425,
12851,-2.665623143110087,486,21.913373947143555,0.6947887500000001,
12905,0.5128709919633762,459,10.165549278259277,0.69350625,
12957,-2.7319532830831257,335,21.74091339111328,0.69227125,
13005,3.915299881811153,622,25.44685935974121,0.69113125,
13060,0.3847893636803271,450,14.293682098388672,0.689825,
13113,-2.691455529365349,341,18.500905990600586,0.68856625,
13170,0.48906509357036726,477,11.182489395141602,0.6872125,
13226,0.796615573388175,338,8.387744903564453,0.6858825,
13280,0.3622684072964699,465,17.392295837402344,0.6846,
13336,0.6330581356013959,314,8.541519165039062,0.68327,
13392,-2.7006196086876684,480,9.789287567138672,0.68194,
13442,0.8872420934352171,187,8.582467079162598,0.6807525,
13498,-2.7006196086876684,341,15.462080001831055,0.6794225,
13547,-2.6820109361808564,486,17.527021408081055,0.67825875,
13604,-2.675554470136574,341,14.471820831298828,0.676905,
13657,-2.7501629435415467,338,16.955738067626953,0.67564625,
13711,-2.6945409740716952,341,12.726337432861328,0.67436375,
13767,-2.709511505690036,471,21.222881317138672,0.67303375,
13823,30.662556697472866,444,26.784400939941406,0.67170375,
13876,46.81440711469849,592,15.564459800720215,0.670445,
13929,46.324226739148415,444,23.055309295654297,0.66918625,
13982,-2.718139304459536,486,23.740989685058594,0.6679275,
14034,0.2629836150067058,477,13.612136840820312,0.6666925,
14087,-2.7501629435415467,335,17.980854034423828,0.66543375,
14138,1.3029941572598644,462,19.92435646057129,0.6642225,
14188,0.6903516935232216,486,13.106184959411621,0.663035,
14246,2.9429015769239486,483,14.494604110717773,0.6616575,
14299,0.8135549157781804,622,15.458641052246094,0.66039875,
14349,-2.675554470136574,338,16.724119186401367,0.65921125,
14406,-2.668966911678986,332,11.61082649230957,0.6578575,
14455,0.7074259530537592,447,15.05538272857666,0.6566937500000001,
14507,0.19478837682913827,477,12.204586029052734,0.65545875,
14559,5.6298052499063145,471,14.46361255645752,0.6542237500000001,
14616,0.7198148603086558,447,9.111125946044922,0.6528700000000001,
14668,3.4973214501896566,314,11.64962387084961,0.651635,
14724,-2.668966911678986,332,9.141301155090332,0.650305,
14780,0.8135549157781804,459,20.717365264892578,0.6489750000000001,
14835,33.32009677104306,444,18.280967712402344,0.64766875,
14890,0.7085635337875376,341,17.27088165283203,0.6463625,
14944,2.185574113341347,483,13.735504150390625,0.6450800000000001,
14994,-2.7476393369106535,486,9.648637771606445,0.6438925,
15000,,,17.891315460205078,0.64375,2.8333333333333335
15043,1.6749740318936381,483,16.81847381591797,0.6427287500000001,
15096,-2.685190826819048,341,11.03195858001709,0.64147,
15151,2.5950894782304097,459,12.645811080932617,0.64016375,
15203,0.7246726798522821,450,19.657791137695312,0.63892875,
15256,2.048350646350186,456,12.594482421875,0.63767,
15314,0.8879475834780748,468,14.116868019104004,0.6362924999999999,
15367,4.11779945603002,483,5.98053503036499,0.6350337500000001,
15418,0.6914778984496621,486,19.963396072387695,0.6338225,
15473,-2.668966911678986,462,12.712602615356445,0.6325162500000001,
15527,0.7420936160124063,465,2.2522082328796387,0.63123375,
15579,-2.665623143110087,447,17.66350746154785,0.6299987499999999,
15635,0.5098490513855273,453,20.514877319335938,0.6286687500000001,
15684,-2.668966911678986,471,16.837848663330078,0.627505,
15736,0.7067879205049015,450,11.731185913085938,0.62627,
15792,-2.6883389185508575,489,11.305160522460938,0.62494,
15845,-2.668966911678986,193,10.07383918762207,0.62368125,
15901,0.6903516935232216,462,14.28248405456543,0.62235125,
15954,1.9334840649880738,456,8.491106033325195,0.6210925,
16006,0.849685975775856,483,7.981992721557617,0.6198575,
16058,-2.7036134126007916,471,18.13640022277832,0.6186225000000001,
16115,0.8188928356905342,459,11.221891403198242,0.61726875,
16169,0.04845941233246235,317,4.599257469177246,0.61598625,
16227,-2.6787989254352085,341,30.387861251831055,0.61460875,
16278,1.9998581035547482,465,9.74415397644043,0.6133975,
16336,-2.675554470136574,338,18.696380615234375,0.61202,
16387,0.6897200412998525,447,17.75406265258789,0.61080875,
16440,-2.7124163906331358,486,14.335065841674805,0.60955,
16493,0.7067879205049015,486,16.961015701293945,0.60829125,
16547,-2.665623143110087,326,23.00861930847168,0.60700875,
16604,-2.7006196086876684,456,16.1678409576416,0.605655,
16661,0.7954193666203986,317,12.587711334228516,0.60430125,
16717,0.6048813546748941,477,8.83237075805664,0.60297125,
16773,-2.685190826819048,193,12.019996643066406,0.60164125,
16827,0.5924928645408776,341,13.095319747924805,0.60035875,
16883,-2.7346337502522946,480,23.530746459960938,0.59902875,
16938,0.4650050247103255,450,19.666034698486328,0.5977225,
16995,2.9189268658499805,341,16.450908660888672,0.59636875,
17049,2.0759458111080824,459,9.56367301940918,0.59508625,
17103,-2.6945409740716952,486,12.956090927124023,0.59380375,
17155,47.41995116928054,444,19.915632247924805,0.5925687500000001,
17209,-2.6722772425621963,341,13.027223587036133,0.59128625,
17262,0.7420936160124063,320,11.885103225708008,0.5900275,
17315,-2.7600075204158654,338,14.947468757629395,0.5887687500000001,
17372,-2.691455529365349,332,12.360876083374023,0.587415,
17427,2.273396632078252,326,12.020951271057129,0.58610875,
17477,0.7205844781080566,616,15.604939460754395,0.5849212500000001,
17534,1.981930529417049,601,32.54615020751953,0.5835675,
17593,-2.665623143110087,465,27.48807144165039,0.58216625,
17644,-2.6883389185508575,335,11.665229797363281,0.5809550000000001,
17700,0.7067879205049015,465,18.921207427978516,0.5796250000000001,
17755,0.05904991144693171,341,29.475107192993164,0.57831875,
17808,0.6745631194651655,341,5.22683048248291,0.57706,
17864,1.8212174400239995,474,14.10129165649414,0.5757300000000001,
17917,2.7224237272769165,474,18.481773376464844,0.57447125,
17976,1.1483135533810294,486,17.261592864990234,0.57307,
18029,-2.675554470136574,477,15.227598190307617,0.5718112500000001,
18083,0.5643539795328284,447,28.66351318359375,0.57052875,
18138,-2.6945409740716952,193,14.24064826965332,0.5692225,
18186,0.6395336663532056,631,12.747175216674805,0.5680825,
18239,0.7067879205049015,447,14.513360977172852,0.56682375,
18294,0.8128772248579166,447,10.18936824798584,0.5655175000000001,
18348,0.849685975775856,468,11.130273818969727,0.564235,
18401,0.8128772248579166,604,9.232728004455566,0.56297625,
18455,0.849685975775856,341,16.110740661621094,0.5616937500000001,
18509,32.63493447260564,444,20.91002082824707,0.56041125,
18563,-2.6820109361808564,471,7.209022045135498,0.55912875,
18618,-2.7399145386222736,462,8.09185791015625,0.5578225000000001,
18671,0.8318736523011923,341,20.937728881835938,0.55656375,
18727,0.7240282025302035,477,15.473085403442383,0.55523375,
18780,2.6382558987024227,338,9.875672340393066,0.5539750000000001,
18836,2.16015872726016,341,19.9935359954834,0.552645,
18894,-2.6820109361808564,471,10.165576934814453,0.5512675,
18950,1.925864349397853,483,15.579488754272461,0.5499375,
19004,1.9200889614483263,320,21.46677017211914,0.548655,
19060,44.114610577630835,444,13.552854537963867,0.5473250000000001,
19112,0.7067879205049015,453,20.07840347290039,0.54609,
19167,-2.6820109361808564,341,5.992367744445801,0.54478375,
19218,0.8128772248579166,480,14.311588287353516,0.5435725,
19271,-2.75513470096507,341,7.587998390197754,0.54231375,
19329,46.43962419204574,444,18.38323974609375,0.54093625,
19383,0.8872420934352171,598,15.86982536315918,0.53965375,
19437,0.6355268198236902,447,13.17938232421875,0.53837125,
19493,-2.7152922267268043,335,21.643266677856445,0.53704125,
19548,0.8690681076432941,341,8.197050094604492,0.5357350000000001,
19601,-2.7006196086876684,341,19.090951919555664,0.53447625,
19653,0.9063051448840576,489,16.06772232055664,0.53324125,
19707,0.6897200412998525,341,36.672481536865234,0.53195875,
19764,1.1847682775138757,477,13.356708526611328,0.530605,
19824,0.9063051448840576,468,13.370820999145508,0.52918,
19878,-2.665623143110087,480,13.259589195251465,0.5278975,
19930,-2.709511505690036,462,17.240596771240234,0.5266625,
